category,index,text,T,n_blocks,ll_fwd,ll_token_rev,ll_block_rev,sigma_token,sigma_block,sigma_token_per_T,sigma_block_per_T
causal,0,The glass slipped from Alice's hand. The glass fell to the floor. The glass broke into many pieces. The glass left a wet stain on the tile floor.,33,4,-101.4874332100153,-225.02396067231894,-110.39496427029371,123.53652746230364,8.907531060278416,3.7435311352213225,0.26992518364480045
causal,1,The candle caught a small flame. The candle warmed the nearby wax. The candle bent along one soft edge. The candle dripped onto the brass holder.,31,4,-140.99740102887154,-218.76201172173023,-142.4509893655777,77.7646106928587,1.4535883367061615,2.5085358288018935,0.04688994634536005
causal,2,The kettle sat above a strong blue flame. The kettle shook with rising steam. The kettle whistled across the quiet kitchen. The kettle filled two waiting cups with tea.,34,4,-144.97739862883464,-247.68417781591415,-149.06051699724048,102.70677918707952,4.083118368405849,3.0207876231493977,0.12009171671781908
causal,3,Maria opened a dusty window. Maria pulled back a faded curtain. Maria spotted dark clouds over the street. Maria closed the wooden shutters.,28,4,-129.01199377980083,-211.9525750875473,-128.40418351441622,82.94058130774647,-0.6078102653846145,2.9621636181338027,-0.021707509478021945
causal,4,The cyclist hit a loose patch of gravel. The cyclist lost balance on the curve. The cyclist slid across the shoulder. The cyclist scraped a knee on rough pavement.,34,4,-122.87360087037086,-226.95343149453402,-123.84260335564613,104.07983062416315,0.9690024852752686,3.061171488945975,0.02850007309633143
causal,5,The baker mixed flour with warm water. The baker kneaded the sticky dough. The baker placed the loaf in the oven. The baker sold fragrant bread at the counter.,36,4,-129.3708717674017,-244.4815113544464,-116.32147756405175,115.11063958704472,-13.049394203349948,3.1975177663067975,-0.3624831723152763
causal,6,The snowman stood beneath direct sunlight. The snowman lost a rounded shoulder. The snowman dropped a carrot nose. The snowman became a shallow white heap.,33,4,-146.48074087966233,-218.61458648182452,-151.40492397360504,72.13384560216218,4.924183093942702,2.1858741091564298,0.1492176695134152
causal,7,The puppy dug beneath the fence. The puppy entered the vegetable garden. The puppy trampled several lettuce rows. The puppy earned a muddy bath.,29,4,-130.3754221429117,-218.42025074362755,-130.21370166586712,88.04482860071585,-0.16172047704458237,3.0360285724384775,-0.005576568173951116
causal,8,The alarm clock rang across the dark room. The alarm clock startled a sleeping student. The alarm clock fell from the narrow shelf. The alarm clock cracked along the plastic case.,35,4,-140.3840512931347,-226.10558604821563,-136.25675865262747,85.72153475508094,-4.127292640507221,2.449186707288027,-0.1179226468716349
causal,9,The painter dipped a brush into blue paint. The painter covered the bare wall. The painter noticed a long drip. The painter wiped the splatter with a rag.,33,4,-132.82467920333147,-217.3896730169654,-137.57490187883377,84.56499381363392,4.7502226755023,2.562575570110119,0.14394614168188788
