category,index,text,T,n_blocks,ll_fwd,ll_token_rev,ll_block_rev,sigma_token,sigma_block,sigma_token_per_T,sigma_block_per_T
causal,0,The glass slipped from her hand. It fell to the floor. It broke into many pieces. She swept them up carefully.,25,4,-84.31655660271645,-188.54326957464218,-106.00624907016754,104.22671297192574,21.689692467451096,4.16906851887703,0.8675876986980439
causal,1,Dark clouds gathered over the town. Rain began to pour down heavily. The streets quickly flooded with water. Traffic came to a complete stop.,28,4,-99.8404805213213,-228.10343950986862,-116.17424663901329,128.26295898854733,16.333766117691994,4.58081996387669,0.5833487899175712
causal,2,The boy studied hard for his math exam. He reviewed every chapter in the textbook. He answered all the questions confidently. He received the highest score in class.,32,4,-110.3114578127861,-239.60921619832516,-125.77073180675507,129.29775838553905,15.459273993968964,4.0405549495480955,0.4831023123115301
causal,3,The cat spotted a mouse near the fence. It crouched low and crept forward silently. It pounced with a sudden leap. The mouse escaped into a small hole.,34,4,-133.93104660976678,-268.6110832095146,-149.51762074942235,134.68003659974784,15.586574139655568,3.961177547051407,0.45842865116634024
causal,4,She planted tomato seeds in the garden. She watered them every single morning. Green sprouts appeared after one week. By summer she had dozens of ripe tomatoes.,32,4,-125.479432284832,-279.2658920288086,-151.80412962287664,153.7864597439766,26.324697338044643,4.8058268669992685,0.8226467918138951
causal,5,The alarm clock rang at six in the morning. He dragged himself out of bed slowly. He took a quick shower and got dressed. He rushed out the door to catch the bus.,37,4,-103.13630303740501,-266.49440401792526,-118.67385045136325,163.35810098052025,15.537547413958237,4.415083810284331,0.41993371389076317
causal,6,The chef chopped onions and garlic finely. He heated olive oil in a large pan. He added the vegetables and stirred them gently. A wonderful aroma filled the entire kitchen.,34,4,-117.17796542309225,-262.881035387516,-141.33110876567662,145.70306996442378,24.15314334258437,4.285384410718346,0.7103865688995403
causal,7,The dog chewed through its leash at the park. It sprinted across the open field joyfully. It jumped into the muddy pond nearby. Its owner chased after it in frustration.,37,4,-132.89423081092536,-315.060116738081,-166.40825317893177,182.1658859271556,33.51402236800641,4.923402322355557,0.9057843883244975
causal,8,A strong wind knocked down the old oak tree. It crashed onto the roof of the garage. The family called an emergency tree service. Workers removed the tree the next morning.,35,4,-118.93225300312042,-268.83358269929886,-139.1420115828514,149.90132969617844,20.209758579730988,4.282895134176527,0.5774216737065997
causal,9,The little girl blew air into the balloon. It expanded until it was very large. She accidentally let go of the end. The balloon flew around the room wildly.,33,4,-121.47887720167637,-254.02182891964912,-137.4417923092842,132.54295171797276,15.962915107607841,4.016453082362811,0.48372470023054065
causal,10,He forgot to set his alarm the night before. He woke up an hour later than usual. He skipped breakfast and ran to his car. He arrived at work twenty minutes late.,36,4,-103.05850605294108,-252.20402862131596,-115.65300551988184,149.14552256837487,12.59449946694076,4.142931182454857,0.3498472074150211
