category,index,text,T,n_blocks,ll_fwd,ll_token_rev,ll_block_rev,sigma_token,sigma_block,sigma_token_per_T,sigma_block_per_T
causal,0,The glass slipped from Alice's hand. The glass fell to the floor. The glass broke into many pieces. The glass left a wet stain on the tile floor.,33,4,-75.72480964288116,-177.4053746908903,-85.48703136201948,101.68056504800916,9.762221719138324,3.0812292438790654,0.2958249005799492
causal,1,The cat jumped onto the kitchen counter. The cat knocked over a glass jar. The cat leaped down to the floor. The cat hid under the dining table.,33,4,-78.68432399258018,-196.15177088975906,-87.9137271642685,117.46744689717889,9.229403171688318,3.5596196029448146,0.27967888399055507
causal,2,Ben opened the old wooden gate. Ben walked into the garden. Ben picked a ripe red tomato. Ben placed the tomato in a wicker basket.,30,4,-93.94711740035564,-174.00312934070826,-96.6289714127779,80.05601194035262,2.6818540124222636,2.668533731345087,0.08939513374740879
causal,3,The snowball rolled down the steep hill. The snowball gathered more snow along the way. The snowball grew to the size of a boulder. The snowball crashed into a wooden fence.,40,4,-78.0147988232784,-226.96648796647787,-92.92830985039473,148.95168914319947,14.913511027116328,3.723792228579987,0.3728377756779082
causal,4,Clara lit a small match. Clara held the match to the candle wick. Clara watched the flame grow bright. Clara blew out the match with a quick breath.,33,4,-104.42427641525865,-188.0218020156026,-110.41887001285795,83.59752560034394,5.994593597599305,2.533258351525574,0.1816543514424032
causal,5,The balloon floated up from the child's hand. The balloon drifted over the rooftops. The balloon caught on a sharp tree branch. The balloon popped with a loud bang.,35,4,-95.44965150632197,-230.77305744588375,-97.3375329420669,135.32340593956178,1.88788143574493,3.8663830268446224,0.053939469592712286
causal,6,David picked up the heavy axe. David swung the axe at the fallen log. David split the log in half. David stacked the two pieces near the fireplace.,32,4,-92.49240063130856,-183.58919927477837,-111.03774444013834,91.09679864346981,18.545343808829784,2.8467749576084316,0.5795419940259308
causal,7,The river rose after the heavy rain. The river flooded the nearby meadow. The river swept away a small wooden bridge. The river left thick mud across the farmland.,35,4,-106.47205543518066,-222.99462930113077,-106.01565207540989,116.52257386595011,-0.45640335977077484,3.329216396170003,-0.01304009599345071
causal,8,Emma opened the dusty attic door. Emma found an old leather suitcase inside the attic. Emma unlatched the suitcase carefully. Emma discovered a bundle of yellowed letters inside the suitcase.,36,4,-113.2049059048295,-219.2386028021574,-126.48103609494865,106.0336968973279,13.276130190119147,2.9453804693702192,0.3687813941699763
causal,9,The egg rolled off the kitchen counter. The egg fell onto the hard tile floor. The egg cracked open on impact. The egg left a sticky mess on the tiles.,34,4,-81.49240770190954,-193.56475738435984,-90.8333007991314,112.0723496824503,9.340893097221851,3.296245578895597,0.27473214991828976
causal,10,Frank loaded the fishing gear into the truck. Frank drove the truck to the lake. Frank parked the truck near the dock. Frank unloaded the fishing gear onto the wooden dock.,35,4,-91.675157350488,-170.3713449537754,-96.2235631197691,78.6961876032874,4.548405769281089,2.2484625029510688,0.12995445055088828
causal,11,The kite caught a strong gust of wind. The kite soared high above the park. The kite tangled around a power line. The kite ripped apart in the wind.,33,4,-87.44817008636892,-191.50997987389565,-90.18720943946391,104.06180978752673,2.739039353094995,3.1533881753795976,0.08300119251803015
causal,12,Grace dug a small hole in the flowerbed. Grace dropped a tulip bulb into the hole. Grace covered the bulb with dark soil. Grace watered the soil with a green can.,38,4,-94.29503790294984,-222.27994433045387,-120.38033574365545,127.98490642750403,26.085297840705607,3.368023853355369,0.6864552063343581
causal,13,The match struck against the rough box. The match burst into a tiny flame. The match burned down toward the fingertips. The match went out in a thin wisp of smoke.,36,4,-122.97222102014348,-222.63231059908867,-113.67550042271614,99.66008957894519,-9.296720597427338,2.7683358216373666,-0.2582422388174261
causal,14,Henry carried the ladder to the side of the house. Henry leaned the ladder against the gutter. Henry climbed the ladder to the roof. Henry cleared the dead leaves from the gutter.,36,4,-84.46302998624742,-152.84690515324473,-94.80192765081301,68.38387516699731,10.338897664565593,1.8995520879721477,0.2871916017934887
causal,15,The stone skipped across the surface of the pond. The stone bounced three times on the water. The stone lost speed near the far bank. The stone sank to the bottom of the pond.,38,4,-88.99295496381819,-171.45003709755838,-95.90506743919104,82.45708213374019,6.912112475372851,2.1699232140457942,0.18189769672033818
causal,16,Iris poured flour into a large mixing bowl. Iris added two eggs to the flour. Iris stirred the mixture with a wooden spoon. Iris poured the batter into a baking pan.,35,4,-78.25599278323352,-190.8137090653181,-94.41358891036361,112.55771628208458,16.15759612713009,3.2159347509167024,0.4616456036322883
causal,17,The candle burned on the windowsill all evening. The candle melted down to a small stub. The candle dripped hot wax onto the sill. The candle flickered out in a draft from the window.,41,4,-104.93339892942458,-278.104670599103,-111.78175152977929,173.1712716696784,6.848352600354701,4.2236895529189855,0.1670329902525537
causal,18,Jack spotted a deer at the edge of the forest. Jack raised the camera slowly. Jack pressed the shutter button without a sound. Jack captured a clear photograph of the deer.,35,4,-104.15728610288352,-173.77797106280923,-108.36975988931954,69.62068495992571,4.212473786436021,1.989162427426449,0.12035639389817204
causal,19,The boat drifted away from the wooden dock. The boat floated out toward the center of the lake. The boat rocked gently in the breeze. The boat bumped against a cluster of reeds on the far shore.,42,4,-106.39140359102748,-225.8783492743969,-112.10701279900968,119.48694568336941,5.715609207982197,2.8449272781754624,0.13608593352338566
causal,20,Kate pulled a dusty book from the top shelf. Kate blew the dust off the cover. Kate opened the book to the first page. Kate began reading the faded handwritten text.,35,4,-94.38685812801123,-194.25946129858494,-111.33603102713823,99.87260317057371,16.949172899127007,2.8535029477306773,0.4842620828322002
causal,21,The leaf detached from the top of the oak tree. The leaf drifted slowly through the cool air. The leaf landed on the surface of the pond. The leaf floated across the pond toward the bank.,40,4,-96.8581851189956,-168.71100461762398,-111.11995209008455,71.85281949862838,14.261766971088946,1.7963204874657095,0.3565441742772236
causal,22,Leo tossed the ball high into the air. Leo swung the bat with both hands. Leo struck the ball with a sharp crack. Leo watched the ball fly over the fence.,35,4,-87.00165282282978,-187.17235842347145,-99.02110974048264,100.17070560064167,12.01945691765286,2.8620201600183335,0.3434130547900817
causal,23,The rope frayed against the sharp edge of the rock. The rope snapped under the heavy weight. The rope fell into the ravine below. The rope landed in a coil on the rocks.,39,4,-110.95056721149012,-247.47434892505407,-113.16999501734972,136.52378171356395,2.2194278058595955,3.5006097875272806,0.05690840527845117
causal,24,Maria pulled the suitcase from the closet. Maria packed three dresses into the suitcase. Maria zipped the suitcase shut. Maria carried the suitcase down the stairs to the front door.,35,4,-88.17791281826794,-190.26340077072382,-95.40106205269694,102.08548795245588,7.223149234429002,2.9167282272130253,0.2063756924122572
causal,25,The wheel hit a deep pothole in the road. The wheel bent out of shape on impact. The wheel made a grinding noise against the frame. The wheel came loose from the axle.,39,4,-94.51020716829225,-217.79748468846083,-94.58781178516801,123.28727752016857,0.07760461687576026,3.1612122441068866,0.00198986197117334
causal,26,Noah scooped sand into a plastic bucket. Noah flipped the bucket upside down on the beach. Noah lifted the bucket away carefully. Noah admired the small sand tower on the beach.,36,4,-117.28021885082126,-231.55202611908317,-127.58148729335517,114.27180726826191,10.30126844253391,3.174216868562831,0.28614634562594193
causal,27,The bird swooped down from the tall pine tree. The bird snatched a worm from the wet grass. The bird flew back up to the pine tree. The bird fed the worm to the chicks in the nest.,44,4,-88.61468048393726,-247.41695930063725,-116.04807343706489,158.80227881669998,27.433392953127623,3.609142700379545,0.6234862034801733
causal,28,Olivia picked up a smooth flat stone. Olivia wound back the stone in a swift motion. Olivia released the stone across the lake. Olivia counted four skips before the stone sank.,35,4,-118.41646091639996,-208.13121557980776,-144.76266518235207,89.7147546634078,26.34620426595211,2.5632787046687944,0.7527486933129174
