category,index,text,T,n_blocks,ll_fwd,ll_token_rev,ll_block_rev,sigma_token,sigma_block,sigma_token_per_T,sigma_block_per_T
causal,0,The glass slipped from Alice's hand. The glass fell to the floor. The glass broke into many pieces. The glass left a wet stain on the tile floor.,33,4,-75.72480964288116,-177.4053746908903,-85.48703136201948,101.68056504800916,9.762221719138324,3.0812292438790654,0.2958249005799492
causal,1,The candle caught a spark from the match. The candle burned with a steady orange flame. The candle melted around the metal holder. The candle formed a pool of warm wax.,35,4,-97.95246240124106,-199.31824690289795,-109.37169541418552,101.36578450165689,11.41923301294446,2.896165271475911,0.3262638003698417
causal,2,The seed absorbed water from the damp soil. The seed swelled beneath the damp soil. The seed cracked the hard outer shell. The seed pushed a pale shoot toward sunlight.,35,4,-103.59187351725996,-217.27630980312824,-111.58800518512726,113.68443628586829,7.996131667867303,3.248126751024808,0.22846090479620865
causal,3,The kettle rested over the blue gas flame. The kettle heated the cold water inside. The kettle released a thin stream of steam. The kettle whistled across the quiet kitchen.,36,4,-122.75268878773204,-227.97105990350246,-108.91625854745507,105.21837111577042,-13.836430240276968,2.9227325309936227,-0.384345284452138
causal,4,The bicycle struck a sharp stone on the path. The bicycle wobbled beside the narrow ditch. The bicycle tipped onto the grassy bank. The bicycle bent the front wheel against a root.,38,4,-128.98181992024183,-249.66510781645775,-129.47743729501963,120.68328789621592,0.4956173747777939,3.17587599726884,0.013042562494152471
causal,5,The letter slid under the closed office door. The letter landed beside the welcome mat. The letter caught the receptionist's attention. The letter reached the manager inside the conference room.,36,4,-129.00198381766677,-226.41445544734597,-113.3094214135781,97.4124716296792,-15.692562404088676,2.705901989713311,-0.43590451122468543
causal,6,The storm cloud gathered moisture above the warm sea. The storm cloud darkened across the coastal hills. The storm cloud released heavy rain over the village. The storm cloud filled the roadside ditches with water.,41,4,-128.41387742757797,-244.410092972219,-133.40575369540602,115.99621554464102,4.991876267828047,2.829175988893683,0.1217530797031231
causal,7,The puppy spotted the red ball near the porch. The puppy chased the red ball across the yard. The puppy caught the red ball beside the fence. The puppy carried the red ball back to Maria.,40,4,-90.79217545758002,-171.68438889831305,-106.18296118779108,80.89221344073303,15.390785730211064,2.022305336018326,0.3847696432552766
causal,8,The red balloon escaped from the child's open hand. The red balloon rose above the crowded park. The red balloon drifted toward the thorny branch. The red balloon burst against the thorny branch.,40,4,-108.11265528295189,-225.38438669219613,-119.86604000953957,117.27173140924424,11.753384726587683,2.931793285231106,0.2938346181646921
causal,9,The train entered the narrow mountain tunnel. The train shook the loose stones from the tunnel wall. The train slowed beneath the loose stones. The train stopped before the loose stones.,35,4,-99.96195831522346,-185.88423344492912,-118.8541023535654,85.92227512970567,18.89214403834194,2.454922146563019,0.5397755439526268
causal,10,The lead domino tipped against the domino row. The lead domino sent motion through the domino row. The lead domino toppled the domino row across the table. The lead domino triggered the brass bell at the far end.,50,4,-139.16614327018033,-257.7182055111043,-145.14804945682408,118.55206224092399,5.981906186643755,2.3710412448184797,0.1196381237328751
causal,11,The river swelled from heavy mountain rain. The river crossed the low muddy bank. The river flooded the nearby wheat field. The river carried loose branches toward the bridge.,34,4,-118.97163346409798,-218.0985639989376,-131.77677695453167,99.12693053483963,12.805143490433693,2.915497956907048,0.37662186736569686
causal,12,The toaster trapped the thick bread slice. The toaster heated the thick bread slice against glowing wires. The toaster scorched the thick bread slice along the upper edge. The toaster filled the kitchen with bitter smoke.,41,4,-139.9647550426307,-251.57762894779444,-142.14146535936743,111.61287390516372,2.1767103167367168,2.7222652171991153,0.053090495530163824
causal,13,The ice cube rested beside the sunny window. The ice cube softened under the warm sunlight. The ice cube melted across the wooden sill. The ice cube dripped onto the carpet below.,37,4,-113.64671245508362,-210.6357626398094,-122.34197875671089,96.98905018472578,8.69526630162727,2.6213256806682645,0.2350071973412776
causal,14,The paper airplane left Daniel's raised hand. The paper airplane glided across the classroom. The paper airplane struck the spinning ceiling fan. The paper airplane fell into the wastebasket.,37,4,-105.14071663701907,-266.05269289948046,-118.18582654371858,160.9119762624614,13.045109906699508,4.348972331417875,0.35257053801890564
causal,15,The carpenter measured the long pine board. The carpenter marked the long pine board with a pencil. The carpenter cut the long pine board along the pencil mark. The carpenter fitted the long pine board into the doorframe.,47,4,-93.40023514919449,-204.92422604560852,-104.72167114104377,111.52399089641403,11.321435991849285,2.372850870136469,0.2408816168478571
